AMB_TEMP,CH4,CO,NMHC,NO,NO2,Nox,O3,PM10,PM2.5,RH,SO2,THC,UVB,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
15,2,0.81,0.12,1.1,15,16,39,133,73,69,9.8,2.2,0,82,84,3.3,2.7
14,2,0.79,0.12,1.1,14,16,39,148,85,69,8.2,2.1,0,74,70,2.7,2.3
14,2,0.73,0.11,1.1,14,15,39,146,85,70,7.3,2.1,0,73,72,2.5,2.1
13,2,0.66,0.09,1.6,10,12,40,136,75,70,6.4,2.1,0,73,68,2.1,1.8
13,2,0.55,0.09,1.2,9.6,11,38,125,69,71,5.6,2.1,0,74,78,2.6,1.8
13,2,0.49,0.09,1.4,9.9,11,36,114,54,71,5.1,2.1,0,75,70,1.9,1.5
12,2,0.58,0.12,2.1,16,18,30,106,47,70,6.8,2.1,0,75,76,1.8,1.7
13,2,0.65,0.14,2.7,16,19,28,107,50,68,6,2.1,0.3,77,73,2.5,1.9
13,2,0.63,0.13,3.4,16,19,29,107,51,65,6.5,2.1,0.9,87,84,2.4,1.9
14,2,0.56,0.11,3.2,12,15,34,101,55,60,6.2,2.1,2,85,96,3.1,2.3
15,1.9,0.53,0.1,3.1,11,14,37,96,49,56,5.2,2,3.3,85,76,2.7,2.5
15,1.9,0.5,0.09,3.1,11,14,41,88,49,54,4.4,2,4.3,89,89,2.7,2.7
15,1.9,0.43,0.07,2.9,9,12,45,87,42,53,3.7,2,4.5,94,91,3.7,3.1
15,1.9,0.39,0.07,2.5,8.9,11,45,80,35,54,3.4,2,3.6,94,96,3.2,2.8
14,1.9,0.37,0.07,2.4,8.9,11,44,69,34,55,2.8,2,2.3,90,86,3.3,3
13,1.9,0.39,0.07,2.3,10,13,40,60,32,56,2.8,2,0.9,84,80,2.3,2.3
12,1.9,0.45,0.08,2.5,13,15,35,54,29,61,3,2,0.2,83,82,2.7,2.4
11,1.9,0.47,0.1,2.4,15,18,32,60,23,61,2.9,2,0,78,77,1.9,2
11,1.9,0.37,0.07,2.2,12,14,35,60,22,63,2.5,2,0,75,79,2.9,2.1
11,1.9,0.34,0.07,2,12,14,35,57,22,63,3.7,2,0,92,100,2.4,2.4
11,1.9,0.32,0.07,1.7,10,12,34,52,15,65,3,2,0,94,82,2.1,2.4
11,1.9,0.31,0.07,1.8,12,13,31,48,14,66,3.3,2,0,91,95,2.5,2
11,1.9,0.29,0.06,1.6,11,12,31,46,11,66,3.3,2,0,91,98,2.2,2.1
11,1.9,0.27,0.06,1.5,9.7,11,31,43,16,68,2.8,2,0,93,96,1.8,1.6
11,1.9,0.25,0.05,1.4,8.3,9.7,33,44,10,68,3.7,2,0,79,78,2,1.5
11,1.9,0.23,0.05,1.4,7.7,9,34,42,9,69,4.1,2,0,67,67,1.6,1.3
11,1.9,0.22,0.04,1.5,6.2,7.8,37,42,17,68,4.3,2,0,81,84,2.5,1.8
11,1.9,0.21,0.04,0.9,5.4,6.3,37,45,19,70,3.3,2,0,67,60,1.4,1.4
11,1.9,0.22,0.04,0.9,5.6,6.5,38,52,14,70,3.1,2,0,75,77,1.7,1.3
11,1.9,0.23,0.04,1.1,6.8,7.8,36,48,3,69,3.1,2,0,73,79,1.6,1.3
11,2,0.34,0.08,1.7,12,14,29,42,6,70,4,2,0,67,75,1.5,1.2
11,1.9,0.44,0.11,2.7,15,18,26,31,17,68,3,2.1,0.3,73,73,1.9,1.5
13,1.9,0.4,0.1,3.5,13,17,30,34,21,63,4.3,2,1.1,89,87,3.7,2.6
14,1.9,0.34,0.08,3.4,10,13,34,39,25,62,3.1,2,2.5,89,91,3.4,3.5
15,1.9,0.34,0.09,3.3,9.8,13,35,49,23,60,2.5,2,3.9,90,89,3.6,2.9
16,1.9,0.32,0.07,3.3,9.7,13,36,54,18,58,2.5,2,4.9,85,87,3.1,2.8
17,1.9,0.31,0.07,3.1,9.3,12,38,47,19,57,2.5,2,4.9,87,89,4,3.2
17,1.9,0.3,0.06,2.8,8.7,11,39,36,14,57,2.5,2,4,84,80,3.5,3
17,1.9,0.3,0.07,3,9.5,12,39,32,21,58,2.6,2,2.5,83,90,3.3,3.1
16,1.9,0.33,0.09,3.1,12,15,36,39,20,61,2.5,2,1.1,86,89,3.9,3.1
