TA,TR,HR,WI
74,67,93,20
56,43,93,16
58,31,76,8
61,36,89,12
58,44,86,10
57,39,79,12
60,41,83,7
62,43,92,10
64,49,92,17
44,31,75,13
55,31,76,8
69,51,83,13
55,39,83,21
58,37,75,14
71,55,89,16
59,54,87,21
36,15,50,17
48,29,68,13
53,51,93,12
70,60,93,12
72,64,93,13
75,54,93,12
67,58,84,15
71,60,87,17
76,31,70,16
64,29,49,14
72,31,55,14
64,31,45,14
70,41,59,12
72,41,64,9
82,51,71,16
63,28,59,15
70,39,70,12
56,42,78,20
40,22,81,16
70,38,85,8
76,45,76,12
60,43,66,21
39,19,69,15
49,19,63,15
65,51,80,15
80,59,86,14
76,62,81,14
55,40,79,18
46,38,82,13
64,45,89,10
48,42,80,16
32,17,58,15
38,29,78,8
65,42,85,14
76,53,96,13
60,49,82,15
36,31,89,15
57,34,75,14
69,38,85,10
86,48,86,18
76,52,64,15
76,61,90,13
81,62,87,15
82,63,78,13
82,62,93,15
83,64,81,16
72,33,67,14
77,57,73,14
86,61,84,15
76,63,81,12
71,65,93,12
52,46,83,20
59,32,82,12
80,50,83,13
82,65,93,16
73,67,89,20
47,27,75,18
50,36,92,9
53,43,86,13
65,42,89,13
67,50,86,16
59,57,93,14
58,45,86,15
71,56,84,12
83,56,93,14
70,50,56,24
68,40,68,9
75,59,86,13
74,64,93,12
64,58,93,24
68,31,53,16
83,56,73,18
72,55,80,15
76,40,82,10
80,60,93,17
77,65,100,12
61,51,72,17
66,47,72,10
69,46,93,15
66,55,78,22
82,68,100,16
89,67,90,18
77,48,68,13
79,51,83,20
85,62,90,16
86,67,93,17
82,69,97,16
82,69,90,14
74,69,93,17
65,46,60,10
61,51,96,12
72,51,93,25
77,50,96,22
84,51,77,13
87,59,90,17
85,61,90,16
85,63,87,20
78,68,90,18
73,69,90,22
65,32,59,12
73,48,76,16
67,61,97,10
78,61,93,9
78,56,93,13
75,63,97,12
84,65,93,14
87,63,87,12
87,64,90,17
88,66,87,16
88,64,68,12
86,69,90,16
96,70,87,14
93,69,67,14
84,46,60,17
75,38,42,16
77,43,63,10
83,40,51,9
94,42,44,13
91,42,37,14
92,59,90,16
87,64,87,17
88,67,84,18
84,73,84,17
86,71,87,20
91,66,97,16
93,68,84,18
82,76,94,18
67,60,93,16
76,51,93,17
84,47,93,10
86,48,60,15
86,59,84,17
85,61,93,16
86,64,87,18
89,65,84,14
89,66,84,16
87,68,90,15
84,71,84,14
86,70,97,15
87,67,84,15
75,70,93,17
73,67,93,22
84,68,97,14
89,65,93,9
94,67,84,9
93,69,84,10
88,71,93,14
91,71,87,13
90,72,82,10
91,71,87,12
91,72,87,14
92,71,87,14
92,72,93,14
90,72,87,16
86,75,91,14
92,70,97,13
94,73,87,14
92,74,79,24
92,72,88,12
92,75,91,16
91,74,88,13
91,73,88,13
92,74,94,15
90,74,85,13
88,75,88,16
93,74,94,22
89,76,94,16
88,75,94,15
91,74,88,17
93,74,85,16
95,74,88,17
96,74,88,17
96,73,88,15
97,73,93,14
96,71,93,20
93,70,93,16
94,71,93,18
95,73,100,13
96,70,87,13
98,73,93,13
98,72,90,14
96,71,93,14
95,72,90,13
98,71,93,13
100,71,93,13
101,71,82,10
92,73,93,15
95,74,93,15
89,76,94,13
78,74,100,14
86,70,90,8
94,76,93,12
96,76,94,10
96,74,94,8
97,75,94,7
94,77,94,8
96,73,87,12
98,74,94,15
98,74,94,13
99,73,93,9
97,72,87,13
96,72,87,14
97,73,85,13
91,67,74,12
90,68,93,10
94,69,84,13
94,72,87,13
97,71,87,13
99,73,94,13
102,74,88,13
102,75,91,13
100,74,88,13
101,74,88,13
102,75,91,13
100,73,94,12
97,60,66,12
98,68,73,9
101,74,88,13
104,74,88,14
101,74,85,16
102,75,85,15
96,72,76,16
102,75,85,17
103,75,85,17
103,74,85,15
101,73,94,14
101,74,88,13
101,73,88,10
101,71,71,14
98,72,87,10
99,73,82,17
96,75,88,15
95,73,94,13
99,73,94,15
101,75,91,15
98,75,91,17
100,74,88,17
99,77,91,28
97,75,91,13
97,75,94,13
89,74,100,8
96,71,100,12
97,73,87,13
99,73,88,14
99,75,85,10
96,74,94,15
66,63,100,14
77,67,100,7
88,70,97,8
94,74,94,18
91,75,94,14
90,75,100,25
86,75,100,10
90,75,100,9
90,73,94,10
91,70,90,9
85,66,74,8
84,60,90,9
83,66,90,13
85,67,87,10
80,69,93,9
88,67,100,12
89,68,93,8
90,70,93,9
92,73,88,10
92,75,91,14
85,59,63,14
80,53,72,9
87,67,93,14
89,71,93,13
94,73,93,13
90,72,93,15
92,73,94,14
92,73,87,14
78,72,97,14
77,72,93,13
76,72,87,20
80,48,77,14
88,51,72,9
86,54,72,13
87,64,97,13
86,69,90,9
82,66,93,8
82,64,100,8
83,61,93,10
83,62,84,9
83,62,81,8
85,61,84,7
88,61,84,8
86,61,90,12
86,65,93,14
84,68,93,8
81,63,81,10
82,61,93,8
76,61,93,16
68,43,71,9
75,52,80,15
76,63,84,14
75,69,100,17
59,58,100,13
63,56,93,10
71,49,80,7
75,52,93,15
74,45,86,8
76,61,93,17
65,62,93,17
51,29,64,16
41,17,58,17
45,23,58,8
48,47,100,10
50,49,100,17
53,27,82,16
56,27,78,10
69,45,86,13
70,63,100,12
74,69,100,13
67,64,100,20
81,57,100,16
