PRESION,ALTURA,TEMPAMB,TEMPROCIO,HUMEDAD,MEZCLAIRE,VIENTO,TPOT,TPOTEQ,TPOTV
75300,2546,289.2,282.2,63,0.00979,9.774444444,344.5,313.8,315.6
75200,2557,284.6,275.6,54,0.00617,8.745555556,328.2,308.9,310.1
75200,2558,287.6,284.9,84,0.01177,1.543333333,348.7,312.2,314.4
75100,2568,287,281,67,0.00904,5.658888889,339.8,311.6,313.3
74900,2569,291.2666667,278.2666667,43.66666667,0.007576667,6.173333333,340.7,316.5333333,317.9333333
75000,2579,284,281.5,85,0.00937,4.115555556,337.3,308.5,310.2
74900,2580,290.2,279.2,48,0.008,7.202222222,340.8,315.3,316.9
74900,2581,290.9,277.4,42.5,0.007155,5.144444444,339,316.1,317.45
75000,2590,286.4,282.8,79,0.01024,1.543333333,342.8,311.1,313
74800,2591,289.2,279.2,52,0.00801,5.658888889,339.7,314.4,315.9
74800,2592,291,283,60,0.01041,6.687777778,349.3,316.3,318.3
74600,2593,290.2,284.2,68,0.01132,5.144444444,351.4,315.7,317.9
75000,2601,283.2,278.3,72,0.0075,1.028888889,330.8,307.6,309
74800,2602,289.3,280.3,56,0.00865,5.144444444,341.8,314.45,316.1
74700,2603,290,279,48,0.00791,7.202222222,340.5,315.4,316.9
74700,2604,289.6,281.6,59,0.00947,5.658888889,344.8,314.9,316.7
74800,2606,286.8,285.3,91,0.01216,0.514444444,349.4,311.8,314.1
74700,2612,287.2,281.2,67,0.00922,2.057777778,341.1,312.3,314.1
74800,2613,288.4,280.4,59,0.00871,6.173333333,340.9,313.5,315.1
74600,2614,287.5,282.7,73,0.01023,6.687777778,344.7,312.8,314.7
74400,2615,287.7,282.7,72,0.01024,7.202222222,345.3,313.3,315.2
74500,2616,290.9,279,46,0.00792,5.144444444,341.9,316.6,318.1
74600,2623,284,275,54,0.00596,2.572222222,327.6,309,310.1
74600,2624,285.2,283.5,89,0.01079,5.144444444,343.5,310.2,312.3
74700,2625,284.9,281.6,80,0.00946,5.144444444,339,309.8,311.6
74400,2626,289.8,279.8,52,0.0084,5.658888889,342.2,315.5,317.1
74700,2627,289.4,278.4,48,0.00758,5.658888889,338.8,314.7,316.1
74600,2628,290.6,278.6,45,0.0077,5.658888889,340.7,316.1,317.6
74600,2635,284.6,278.6,67,0.0077,3.601111111,333.5,309.6,311.1
74500,2636,289,277,45,0.00689,7.202222222,336.4,314.5,315.8
74400,2637,285.2,280.5,73,0.00882,1.543333333,337.9,310.5,312.2
74300,2638,290.2,280.2,52,0.00865,6.687777778,343.5,316.1,317.7
74400,2639,290.8,279.5,48,0.00821,5.144444444,342.7,316.6,318.1
74500,2645,284.6,281,79,0.00911,1.028888889,337.9,309.7,311.4
74300,2646,286.6,279.6,63,0.00829,7.202222222,338.1,312.1,313.7
74300,2647,289.7,280.9,56,0.00907,7.716666667,344.2,315.5,317.2
74300,2648,289.2,281.2,59,0.00927,5.658888889,344.2,315,316.7
74100,2649,286.6,280.6,67,0.00891,2.057777778,340.3,312.4,314.1
74200,2650,290.4,278.4,45,0.00764,5.144444444,340.8,316.4,317.9
74400,2651,291,281,52,0.00913,6.687777778,345.9,316.8,318.6
74000,2652,291.6,277.6,40,0.00724,2.572222222,341.3,318,319.4
74300,2656,284.4,283.6,95,0.01092,1.028888889,343.3,309.8,311.8
74300,2657,281.6,278.6,81,0.00773,1.028888889,330.4,306.7,308.1
74100,2658,285.6,282.9,84,0.01044,3.086666667,343.6,311.3,313.3
74150,2659,288.4,279.4,56,0.0082,3.086666667,340.2,314.3,315.85
74100,2660,289,284.9,77,0.01195,3.601111111,352.5,315,317.3
74100,2661,289.2,279.2,52,0.00809,3.086666667,340.9,315.2,316.8
74000,2662,289.8,277.8,45,0.00734,2.057777778,339.4,316,317.4
74200,2667,284.4,284.4,100,0.01154,1.543333333,345.3,309.9,312
74100,2668,283.6,277.6,66,0.00723,3.601111111,331.6,309.1,310.5
74000,2669,283.6,280.8,83,0.00905,3.086666667,337.2,309.2,310.9
74100,2670,289,284,72,0.01125,3.601111111,350.3,315,317.1
74200,2671,286.9,279.3,60,0.00812,5.144444444,338.1,312.6,314.1
74100,2672,290.1,281.1,55,0.00923,9.774444444,345.5,316.2,318
74200,2673,290.1,278.7,47,0.00779,9.26,341,316.1,317.6
74200,2678,285.2,280.2,71,0.00866,1.543333333,337.7,310.8,312.4
74400,2679,284.4,280.3,76,0.00869,0.514444444,336.5,309.6,311.3
74200,2680,285.6,272.6,41,0.00503,3.601111111,327.2,311.2,312.1
74200,2681,285.2,280.6,73,0.00888,7.716666667,338.4,310.8,312.4
74100,2682,285.2,281.6,79,0.00958,5.144444444,340.6,310.9,312.7
73900,2683,288.8,280.8,59,0.00906,4.115555556,343.7,315,316.8
74100,2684,287,281.8,71,0.00966,5.144444444,343,312.8,314.6
73800,2687,290.8,284.8,68,0.01192,4.63,355.1,317.3,319.6
74000,2690,283.6,274.6,54,0.00584,2.057777778,327.6,309.2,310.3
73900,2691,282.4,273.4,53,0.00536,2.057777778,324.9,308.1,309.1
74000,2692,284,275,54,0.00601,3.601111111,328.5,309.7,310.8
74200,2693,285,277,58,0.0069,10.28888889,332.1,310.5,311.8
73800,2694,284.2,283,92,0.01055,2.057777778,342.7,310.1,312.1
73800,2695,289.8,240.8,2,0.00035,6.687777778,317.6,316.2,316.3
74000,2696,288.65,279.4,54,0.00823,7.202222222,340.8,314.75,316.3
73900,2697,288.8,280.8,59,0.00906,6.173333333,343.7,315,316.8
73900,2701,282.8,269.8,40,0.00411,2.057777778,321.6,308.5,309.3
73900,2702,283.2,276.2,62,0.00656,0.514444444,329.4,308.9,310.1
73900,2703,288.6,281.6,63,0.00958,6.687777778,345,314.8,316.6
73900,2704,283.6,277.6,66,0.00725,4.63,331.9,309.4,310.7
