Etiquetas de fila,Mín. de PRES hPa,Máx. de TEMP C,Máx. de DWPT C,Promedio de RELH %,Promedio de MIXR g/kg,Máx. de SKNT knot,Promedio de THAT K,Promedio de THTE K,Promedio de THTV K
2546,740,24.6,15.6,77.26296448,9.959514087,63,310.8959167,341.7897509,312.7638628
2557,748,19.8,12.9,73.34229829,9.42198044,17,310.7765281,340.0036675,312.5400978
2558,750,14.6,11.9,81,11.185,3,312,346.65,314.05
2568,748,16.8,12.6,74.6969697,9.380242424,11,310.4587879,339.5127273,312.2139394
2569,738,19.4,12.5,71.33505155,9.643453608,61,311.9587629,341.9747423,313.7649485
2579,749,15.8,11.8,77.4,9.284,8,309.7975,338.495,311.5275
2580,746,19,12.5,71.15044248,9.308938053,14,311.4168142,340.3752212,313.1610619
2581,746,20.2,10.2,53,8.801818182,10,315.6636364,343.5727273,317.3454545
2590,748,14.2,11.4,77.83333333,9.285,3,309.6333333,338.325,311.375
2591,746,19.6,11.4,71.82857143,9.404571429,11,311.5057143,340.7485714,313.2742857
2592,746,19.6,11,59,9.039666667,13,314.4466667,342.93,316.1566667
2593,746,17.2,11.2,68,11.32,10,315.7,351.4,317.9
2601,750,10.2,5.3,72,7.5,2,307.6,330.8,309
2602,746,18,11.5,69.58333333,8.76125,10,310.7583333,338.0125,312.4083333
2603,745,18.8,11.1,66.36842105,9.414736842,14,313.1105263,342.5789474,314.8789474
2604,746,19.2,10.7,52.875,8.89,11,316.0125,344.225,317.7
2606,748,13.8,12.3,91,12.16,1,311.8,349.4,314.1
2612,746,14.2,8.6,73.33333333,8.983333333,4,310.4666667,338.3333333,312.1666667
2613,745,16.6,11,64.5,8.533,12,311.96,338.63,313.56
2614,745,18.2,11.6,64.3,9.261,13,313.36,342.38,315.11
2615,744,19,11.6,58.91666667,9.041666667,14,314.5416667,343.025,316.2416667
2616,744,18.2,10.9,58.25,9.5275,10,315.75,345.875,317.55
2623,746,11,2,54,5.96,5,309,327.6,310.1
2624,744,12.8,10.5,77,9.146,10,309.98,338.28,311.7
2625,746,14.8,9.5,73.25,9.0025,10,310.625,338.525,312.3
2626,743,18.4,11.5,58.25,8.81125,11,314.325,342.125,315.975
2627,743,16.8,10.4,57.8,9.204,11,315.04,344.14,316.8
2628,746,17.6,5.6,45,7.7,11,316.1,340.7,317.6
2635,745,12,10.3,78,9.185,7,309.9,338.3,311.65
2636,742,16.8,10.3,66.44444444,9.276666667,14,313.1777778,342.2444444,314.9333333
2637,744,12.8,8.8,74.75,9.265,3,310.85,339.6,312.6
2638,742,17.2,10.4,62.16666667,9.103333333,13,313.9333333,342.5333333,315.65
2639,743,17.8,7,50,8.37,10,316.25,342.8,317.8
2645,745,11.6,8,79,9.11,2,309.7,337.9,311.4
2646,743,13.6,9.3,77.5,9.135,14,310.45,338.75,312.15
2647,743,16.8,10.7,65.5,9.3625,15,313.7,343.05,315.475
2648,741,16.4,9.8,69,9.188,11,312.38,341.05,314.1
2649,741,13.6,7.6,67,8.91,4,312.4,340.3,314.1
2650,742,17.4,5.4,45,7.64,10,316.4,340.8,317.9
2651,741,19.2,8.2,51,9.233333333,13,317.5333333,347,319.3
2652,740,18.6,4.6,40,7.24,5,318,341.3,319.4
2656,743,11.4,10.6,95,10.92,2,309.8,343.3,311.8
2657,743,8.6,5.6,81,7.73,2,306.7,330.4,308.1
