PRESION,ALTURA,TEMPAMB,TEMPROCIO,HUMEDAD,MEZCLAIRE,VIENTO,TOPOTP
749,2560.35,15.7,12.25,64,7.98,22.41,326.27
747,2590.83,16.9,11.4,37.5,4.85,24,327
745,2621.31,14.6,6.45,50,6.94,21.74,321.78
740.5,2651.79,18.9,6.4,44.5,8.19,23.44,327.55
739.5,2682.27,14.6,9.2,60.5,8.52,22.73,324.65
737.5,2712.75,10.8,4.2,54,6.08,19.27,317.52
728.5,2743.23,14.1,9.4,59,6.26,23.39,324.77
732,2773.71,12.8,11.5,74,8.2,22.6,325.03
729,2804.19,12.55,9.35,72.5,7.97,22.31,323.68
727.5,2834.67,13.85,7.7,66.5,9.08,21.77,324.52
723.5,2865.15,11.8,10.3,74.5,8.6,21.46,324.1
721.5,2895.63,11.7,9.8,73.5,7.85,22.22,324
719,2926.11,10.6,7.25,79.5,8.82,19.95,321.7
715.5,2956.59,11,8.9,85,9.49,18.69,323.7
714,2987.07,9.75,9.5,86.5,9.15,18.45,322.95
705.5,3017.55,9.4,6.8,49,4.98,22.74,321.87
702.7,3048.03,13.1,10.75,53,5.85,25.34,328.3
705,3078.51,9.4,7.35,81.5,8.56,21.03,322.02
702,3108.99,10.1,7.25,44,4.48,23.64,322.85
700,3139.47,13.3,9.6,41,4.79,28.69,328.47
698,3169.95,13.3,9,35.5,3.87,30,327.78
695,3200.43,10.4,7.95,72.5,8.27,25.33,324.47
694.5,3230.91,8.85,5.4,74,7.4,25.82,321.93
690,3261.39,10.25,6.7,69.5,6.34,26.15,324.7
689,3291.87,8.35,7,78.5,7.46,25.5,322.72
686,3322.35,8.45,3.55,55.5,5.2,27.91,321.65
678.45,3352.83,10.35,7.8,52,4.99,27.61,326.3
680,3383.31,8.85,6.75,73.5,7.74,26.15,323.93
678,3413.79,8.65,5.5,66.5,6.92,26.19,323.68
675,3444.27,9,6.5,59.5,5.95,29.41,325.03
673,3474.75,9.7,5.95,61.5,6.6,29.35,325.6
670.5,3505.23,7.5,6.25,81,7.61,28.12,323.98
667,3535.71,7.05,5.3,80,7.17,28.95,323.68
665,3566.19,7.1,5.95,77,6.75,29.91,324.7
663,3596.67,7.3,4.45,75,7.31,30.54,323.48
659.5,3627.15,7.4,5,61.5,5.57,31.44,324.48
657.5,3657.63,7.6,5.3,69.5,6.82,31.03,324.97
655.5,3688.11,6.6,5.85,60,5.31,31.73,325.22
653,3718.59,6.2,4.9,57,5.04,31.44,324.27
650,3749.07,6.8,4.75,59,5.59,31.73,325.32
648,3779.55,5.7,4.3,67.5,5.92,31.11,324.43
645,3810.03,6.2,3.7,54.5,4.71,32.58,324.33
642.5,3840.51,7,3.7,26,2.44,35.02,325.62
641,3870.99,6.65,4.8,59,5.08,34.63,326.68
638.5,3901.47,5.6,4.25,69,5.74,33.85,325.95
636,3931.95,5.6,4.7,75.5,6.32,33.96,326.48
631.8,3962.43,7.75,4.35,29.5,2.19,37.56,328.17
632,3992.91,5.6,2.8,74.5,6.33,33.53,325.67
629.5,4023.39,5.9,3.25,29,2.41,36.92,326.33
627.5,4053.87,5.5,4,77,6.9,34.41,326.78
623.5,4084.35,6.6,2.6,19,1.66,38.95,327.62
621.5,4114.83,5.9,2.1,35,2.86,38.29,326.57
620,4145.31,6.4,2.1,51,4.52,36.52,327.98
616,4175.79,5.7,2.95,35.5,3.03,38.43,328.17
615,4206.27,5.2,2.7,56.5,4.87,36.19,327.23
612,4236.75,6.4,2.1,30,2.62,39.07,328.5
605.2,4267.23,6.15,3.65,31.5,2.63,40.81,329.47
608,4297.71,5,2.6,36.5,3.14,39.34,328.92
605,4328.19,4.6,1.45,50,3.54,38.39,327.55
604,4358.67,3.9,1.3,63,4.94,37.22,327.02
602,4389.15,3.5,0.9,39.5,2.99,39.2,326.63
598.5,4419.63,4.4,2.05,33,2.81,39.58,329.32
596.5,4450.11,3.4,0.35,49,4,38.39,327.1
593.5,4480.59,3,0.55,35,2.51,39.5,327.28
591.5,4511.07,1.9,0.65,54,3.62,38.39,326.87
589.5,4541.55,2.95,0.45,30.5,2.22,39.58,327.78
582.95,4572.03,4.65,1.3,36,2.81,39.5,330.12
585.5,4602.51,2.75,-1.75,34,2.61,39.43,327.38
582.5,4632.99,2.5,0.15,39.5,2.98,39.34,328
581.5,4663.47,3.2,0.1,23,1.7,40.53,328.7
577.5,4693.95,1.6,-0.05,35,2.37,39.5,327.92
576.5,4724.43,1.9,-0.15,26.5,2.03,39.88,328.33
574.5,4754.91,1.2,0.6,47,3.13,38.95,328.87
571.5,4785.39,2.25,-0.05,34,2.29,39.5,329.68
570,4815.87,1.9,-0.5,40.5,2.88,39.48,329.45
567.5,4846.35,1.4,-0.8,40.5,2.77,39.33,329.13
561.15,4876.83,4.35,-0.05,3.5,0.3,40.97,332.43
563,4907.31,1.4,-0.1,36,2.56,39.35,330.3
561,4937.79,1.9,-0.6,39,2.7,39.49,330.97
559,4968.27,1.7,-2.1,18,1.32,39.89,330.73
556.5,4998.75,0.9,-1.55,17.5,1.25,40.19,330.27
555,5029.23,0.3,-1.7,33,2.12,39.21,329.75
553,5059.71,0,-0.95,26.5,1.82,39.66,330.82
