PRES hPa,HGHT m,TEMP C,DWPT C,RELH %,MIXR g/kg,SKNT knot,THAT K,THTE K,THTV K
740,2546,24.6,15.6,25,0.45,19,322.6,368,325.4
748,2557,19.8,12.9,40,4.97,17,318.2,355.1,319.7
750,2558,14.6,11.9,78,10.6,3,312.2,348.7,314.4
748,2568,16.8,12.6,50,5.35,11,314.7,350.8,316.8
738,2569,19.4,12.5,30,4.55,12,317.9,354.1,319.4
749,2579,15.8,11.8,51,5.93,8,313.6,347.3,315.1
746,2580,19,12.5,29,3.64,14,317.7,351.5,319.4
746,2581,20.2,10.2,30,5.86,10,318.7,348.5,320.5
748,2590,14.2,11.4,49,4.7,3,312.2,347.7,314.4
746,2591,19.6,11.4,26,5,11,318.2,350.3,319.2
746,2592,19.6,11,40,7.37,13,318.3,350.6,319.8
746,2593,17.2,11.2,68,11.32,10,315.7,351.4,317.9
750,2601,10.2,5.3,72,7.5,2,307.6,330.8,309
746,2602,18,11.5,39,3.6,10,316.3,349.8,317.9
745,2603,18.8,11.1,41,5.26,14,317.3,351.4,318.9
746,2604,19.2,10.7,40,7.18,11,317.9,348.3,319.6
748,2606,13.8,12.3,91,12.16,1,311.8,349.4,314.1
746,2612,14.2,8.6,67,8.26,4,312.3,341.1,314.1
745,2613,16.6,11,30,3.88,12,315.1,345.1,316.7
745,2614,18.2,11.6,41,5.24,13,316.8,346.7,318.3
744,2615,19,11.6,40,7.21,14,317.7,351.4,319.1
744,2616,18.2,10.9,46,7.92,10,316.8,348.8,318.4
746,2623,11,2,54,5.96,5,309,327.6,310.1
744,2624,12.8,10.5,67,7.27,10,311.2,343.5,312.7
746,2625,14.8,9.5,59,8.09,10,313.1,342,314.7
743,2626,18.4,11.5,39,6.03,11,317.4,350.7,319.1
743,2627,16.8,10.4,48,7.58,11,315.6,348.9,317.5
746,2628,17.6,5.6,45,7.7,11,316.1,340.7,317.6
745,2635,12,10.3,67,7.7,7,310.2,343.1,312.2
742,2636,16.8,10.3,45,6.89,14,315.5,346.4,317.2
744,2637,12.8,8.8,73,8.82,3,311.2,340.5,312.9
742,2638,17.2,10.4,52,8.19,13,316.1,349.1,317.7
743,2639,17.8,7,48,8.21,10,316.6,342.9,318.1
745,2645,11.6,8,79,9.11,2,309.7,337.9,311.4
743,2646,13.6,9.3,63,8.29,14,312.1,339.4,313.7
743,2647,16.8,10.7,55,8.41,15,315.6,344.2,317.4
741,2648,16.4,9.8,55,8.53,11,315.4,344.2,317.1
741,2649,13.6,7.6,67,8.91,4,312.4,340.3,314.1
742,2650,17.4,5.4,45,7.64,10,316.4,340.8,317.9
741,2651,19.2,8.2,49,9.13,13,318.4,348.1,320.1
740,2652,18.6,4.6,40,7.24,5,318,341.3,319.4
743,2656,11.4,10.6,95,10.92,2,309.8,343.3,311.8
743,2657,8.6,5.6,81,7.73,2,306.7,330.4,308.1
741,2658,12.8,9.9,82,10.28,6,311.5,343.7,313.5
741,2659,17.8,10.6,45,6.42,6,317,345.2,318.5
741,2660,16,11.9,67,8.78,7,315,352.5,317.3
741,2661,16.2,6.4,52,8.09,6,315.2,340.9,316.8
740,2662,16.8,4.8,45,7.34,4,316,339.4,317.4
742,2667,11.4,11.4,94,10.01,3,309.9,345.3,312
741,2668,10.6,5.8,66,7.23,7,309.1,332.8,310.5
740,2669,15.2,9.2,58,6.43,6,314.1,345.4,316
740,2670,16,11,72,9.03,7,315,350.3,317.1
742,2671,13.9,6.3,60,8.12,10,312.6,338.1,314.1
741,2672,17.1,9.6,55,7.33,19,316.2,347.9,318
742,2673,17.1,5.7,47,7.21,18,316.1,341,317.6
742,2678,12.2,7.2,71,8.66,3,310.8,337.7,312.4
744,2679,11.4,7.3,76,8.69,1,309.6,336.5,311.3
741,2680,12.6,9.2,41,5.03,7,311.2,340.9,312.7
739,2681,16.2,11.5,45,6.55,15,315.5,346.4,316.8
740,2682,13.4,8.6,62,7.97,10,312.3,341.7,314.1
739,2683,15.8,9.8,59,9.06,8,315,347.8,317
741,2684,14,8.8,71,9.66,10,312.8,343,314.6
738,2687,17.8,11.8,52,8.34,9,317.3,355.1,319.6
740,2690,10.6,1.6,54,5.84,4,309.2,327.6,310.3
739,2691,11,6,53,5.36,4,309.8,334.6,311.3
739,2692,12.8,9.9,38,4.77,7,311.8,341.6,312.7
739,2693,12.4,7.5,54,6.09,20,311.3,336.5,312.6
738,2694,13.4,10.6,73,9.38,4,312.3,346.4,314.4
738,2695,16.8,10.5,2,0.35,13,316.2,349,317.6
738,2696,15.7,11.8,50,7.61,14,314.8,349.8,316.5
738,2697,17,7.8,46,7.61,12,316.4,343.7,317.9
739,2701,9.8,-3.2,40,4.11,4,308.5,321.6,309.3
739,2702,10.2,3.2,62,6.56,1,308.9,329.4,310.1
737,2703,15.6,11.3,28,3.03,13,314.8,349.5,316.6
738,2704,13.8,9.2,66,7.25,9,312.9,344,314.7
738,2705,14.4,11.2,55,7.68,17,313.6,345.2,315.1
739,2706,13.1,8,71,9.18,14,312.1,340.7,313.8
738,2707,11.8,9.9,84,9.92,6,310.8,343,312.6
739,2712,11.4,6.4,71,8.22,5,310.2,335.8,311.8
736,2714,10.2,2,37,3.93,1,309.1,328,310.2
736,2715,12.6,9.1,13,1.4,6,311.8,342.7,313.6
737,2716,13.1,10.1,35,4.51,10,312.2,343.6,313
735,2717,14.6,10.8,74,8.65,13,314.2,349.2,316.3
737,2718,11.8,10.7,89,9.79,10,310.9,345.1,313
737,2719,12.4,9.9,85,10.5,4,311.6,344.1,313.5
738,2720,16,8,59,9.2,10,315.4,344.5,317.1
736,2721,14.8,7.8,63,9.1,12,314.3,343,316
737,2723,9.6,5.3,75,7.63,4,308.5,332.1,309.9
736,2724,10.6,7.7,57,5.45,4,309.6,337.5,311.3
736,2725,10,7,82,8.61,8,309.1,335.6,310.7
737,2726,13,9.2,62,6.87,10,312.2,343.2,314.1
735,2727,14.2,7.9,56,6.29,18,313.7,338.3,315.1
736,2728,13,9,58,6.65,19,312.3,343.1,314.2
736,2729,13.4,10.2,67,8.84,6,312.7,343.8,314.3
735,2730,16.6,9.5,55,8.99,10,316.4,346.3,318.1
735,2731,15,10.5,63,8.83,10,314.6,345.1,316.4
735,2733,14.7,7.8,63,9.1,12,314.3,343,316.1
736,2735,13,8.2,72,8.98,15,312.2,341,313.9
735,2736,10,6.4,2,0.22,4,309.1,334,310.1
734,2737,14.8,10,62,6.42,16,314.5,344.2,316.3
734,2738,11,9.5,57,5,7,310.4,342.1,312.3
733,2739,16.2,10.2,63,8.14,9,316,349.9,318
735,2740,13.7,9.2,67,7.59,16,313.2,344.5,315.1
736,2741,15.9,7,55,8.58,10,315.5,342.7,317.1
723,2743,19,11.8,32,3.89,22,319.3,354.8,321.1
734,2747,9.2,7,86,8.63,5,308.4,335,310
735,2748,10.6,8.6,85,9.37,4,309.8,339.3,311.6
733,2749,10.9,6.6,75,7.89,11,310.4,336.5,311.9
734,2750,13.2,9.4,72,9.3,9,312.8,342.6,314.6
734,2751,13.8,7.7,63,7.33,4,313.5,341.5,315.1
736,2752,15,6,55,8.03,13,314.5,339.9,316.1
733,2753,14.9,11.2,54,7.6,14,314.6,349.1,316.5
734,2755,9,5.3,75,6.64,4,308.2,331.9,309.6
733,2758,9,8.1,86,8.53,3,308.3,336.6,309.9
734,2759,10.4,10.4,100,10.9,8,309.7,343.3,311.8
733,2760,14.8,10.6,55,7.94,14,314.6,344,316.1
734,2761,11.6,11.2,62,7.3,8,311.1,346.1,312.8
733,2762,11.6,10,74,8.35,12,311.2,344.1,313.2
733,2763,14,10.8,72,9.87,6,313.3,344.7,315.2
732,2764,13.8,4.8,55,6.55,12,313.3,336.7,314.7
733,2765,13.8,7.6,63,8.51,12,313.5,340.2,315.1
732,2767,16,7.3,56,8.71,13,316.1,344.2,317.8
734,2768,9.2,4.3,71,7.14,1,308.4,330.6,309.8
733,2769,9,7.5,90,8.95,3,308.3,335.8,310
733,2770,11.4,9,83,9.07,6,311,341.7,312.8
732,2771,15.4,7.9,53,4.66,7,315.4,343.6,317.1
732,2772,15.8,8.4,55,8.54,7,315.9,343,317.5
732,2773,12.6,11.4,77,8.11,10,312.3,348.5,314.5
