ANO,MES,DIA,HORA,TEMP
2013,ENERO,1,11,15
2013,ENERO,1,12,15
2013,ENERO,1,13,18
2013,ENERO,1,14,18
2013,ENERO,1,15,19
2013,ENERO,1,16,21
2013,ENERO,1,17,22
2013,ENERO,1,18,24
2013,ENERO,1,20,21
2013,ENERO,1,21,22
2013,ENERO,1,22,21
2013,ENERO,1,23,19
2013,ENERO,2,11,15
2013,ENERO,2,12,15
2013,ENERO,2,13,16
2013,ENERO,2,14,18
2013,ENERO,2,15,18
2013,ENERO,2,16,19
2013,ENERO,2,17,20
2013,ENERO,2,18,20
2013,ENERO,2,19,21
2013,ENERO,2,20,21
2013,ENERO,2,22,21
2013,ENERO,3,11,14
2013,ENERO,3,12,14
2013,ENERO,3,13,17
2013,ENERO,3,14,19
2013,ENERO,3,15,20
2013,ENERO,3,16,22
2013,ENERO,3,17,21
2013,ENERO,3,18,21
2013,ENERO,3,19,21
2013,ENERO,3,20,20
2013,ENERO,3,21,20
2013,ENERO,3,22,19
2013,ENERO,3,23,18
2013,ENERO,4,11,14
2013,ENERO,4,12,14
2013,ENERO,4,13,18
2013,ENERO,4,15,21
2013,ENERO,4,16,21
2013,ENERO,4,17,23
2013,ENERO,4,18,24
2013,ENERO,4,19,24
2013,ENERO,4,20,22
2013,ENERO,4,21,20
2013,ENERO,4,22,19
2013,ENERO,4,23,19
2013,ENERO,5,11,15
2013,ENERO,5,13,20
2013,ENERO,5,14,19
2013,ENERO,5,15,20
2013,ENERO,5,16,20
2013,ENERO,5,16,22
2013,ENERO,5,17,23
2013,ENERO,5,18,22
2013,ENERO,5,19,22
2013,ENERO,5,20,22
2013,ENERO,5,21,21
2013,ENERO,5,23,19
2013,ENERO,6,11,16
2013,ENERO,6,12,17
2013,ENERO,6,14,20
2013,ENERO,6,15,23
2013,ENERO,6,16,23
2013,ENERO,6,18,25
2013,ENERO,6,19,24
2013,ENERO,6,20,24
2013,ENERO,6,21,22
2013,ENERO,6,22,22
2013,ENERO,6,23,20
2013,ENERO,7,11,15
2013,ENERO,7,12,15
2013,ENERO,7,13,18
2013,ENERO,7,14,19
2013,ENERO,7,16,22
2013,ENERO,7,17,24
2013,ENERO,7,18,27
2013,ENERO,7,19,27
2013,ENERO,7,20,26
2013,ENERO,7,21,25
2013,ENERO,7,22,24
2013,ENERO,7,23,23
2013,ENERO,8,11,20
2013,ENERO,8,12,20
2013,ENERO,8,13,22
2013,ENERO,8,14,23
2013,ENERO,8,15,24
2013,ENERO,8,17,24
2013,ENERO,8,18,24
2013,ENERO,8,19,24
2013,ENERO,8,20,23
2013,ENERO,8,21,23
2013,ENERO,8,22,22
2013,ENERO,8,23,22
2013,ENERO,9,11,19
2013,ENERO,9,12,20
2013,ENERO,9,13,21
2013,ENERO,9,14,23
2013,ENERO,9,15,23
2013,ENERO,9,16,26
2013,ENERO,9,17,25
2013,ENERO,9,18,25
2013,ENERO,9,19,24
2013,ENERO,9,20,23
2013,ENERO,9,21,24
2013,ENERO,9,22,23
2013,ENERO,9,23,22
2013,ENERO,10,11,16
2013,ENERO,10,12,16
2013,ENERO,10,13,16
2013,ENERO,10,14,18
2013,ENERO,10,15,19
2013,ENERO,10,16,21
2013,ENERO,10,17,22
2013,ENERO,10,18,23
2013,ENERO,10,19,25
2013,ENERO,10,20,24
2013,ENERO,10,21,23
2013,ENERO,10,22,23
2013,ENERO,10,23,22
2013,ENERO,11,11,15
2013,ENERO,11,12,15
2013,ENERO,11,14,21
2013,ENERO,11,15,19
2013,ENERO,11,16,20
2013,ENERO,11,18,21
2013,ENERO,11,19,21
2013,ENERO,11,20,20
2013,ENERO,11,21,20
2013,ENERO,11,22,19
2013,ENERO,11,23,18
2013,ENERO,12,15,20
2013,ENERO,12,16,21
2013,ENERO,12,17,23
2013,ENERO,12,19,22
2013,ENERO,12,20,21
2013,ENERO,12,21,19
2013,ENERO,12,22,18
2013,ENERO,12,23,17
2013,ENERO,13,11,15
2013,ENERO,13,12,14
2013,ENERO,13,13,18
2013,ENERO,13,14,19
2013,ENERO,13,15,20
2013,ENERO,13,16,22
2013,ENERO,13,17,23
2013,ENERO,13,18,24
2013,ENERO,13,19,23
2013,ENERO,13,20,22
2013,ENERO,13,21,21
2013,ENERO,13,22,20
2013,ENERO,13,23,18
2013,ENERO,14,11,16
2013,ENERO,14,12,16
2013,ENERO,14,13,16
2013,ENERO,14,14,17
2013,ENERO,14,15,18
2013,ENERO,14,16,20
2013,ENERO,14,17,21
2013,ENERO,14,18,22
2013,ENERO,14,19,23
2013,ENERO,14,20,24
2013,ENERO,14,21,22
2013,ENERO,14,22,21
2013,ENERO,14,23,19
2013,ENERO,15,11,14
2013,ENERO,15,12,14
2013,ENERO,15,14,19
2013,ENERO,15,15,20
2013,ENERO,15,16,21
2013,ENERO,15,17,22
2013,ENERO,15,18,23
2013,ENERO,15,19,23
2013,ENERO,15,20,23
2013,ENERO,15,21,22
2013,ENERO,15,22,20
2013,ENERO,15,23,19
2013,ENERO,16,11,15
2013,ENERO,16,12,16
2013,ENERO,16,13,16
2013,ENERO,16,14,17
2013,ENERO,16,15,19
2013,ENERO,16,17,21
2013,ENERO,16,18,22
2013,ENERO,16,19,22
2013,ENERO,16,21,23
2013,ENERO,16,23,19
2013,ENERO,17,11,16
2013,ENERO,17,12,16
2013,ENERO,17,13,16
2013,ENERO,17,14,17
2013,ENERO,17,15,18
2013,ENERO,17,16,19
2013,ENERO,17,17,20
2013,ENERO,17,17,21
2013,ENERO,17,18,21
2013,ENERO,17,19,24
2013,ENERO,17,20,23
2013,ENERO,17,21,22
2013,ENERO,17,22,22
2013,ENERO,17,23,19
2013,ENERO,18,11,16
2013,ENERO,18,12,16
2013,ENERO,18,14,17
2013,ENERO,18,16,17
2013,ENERO,18,17,20
2013,ENERO,18,18,20
2013,ENERO,18,19,25
2013,ENERO,18,19,22
2013,ENERO,18,20,23
2013,ENERO,18,21,22
2013,ENERO,18,22,22
2013,ENERO,18,23,20
2013,ENERO,19,11,14
2013,ENERO,19,12,14
2013,ENERO,19,13,16
2013,ENERO,19,14,18
2013,ENERO,19,15,20
2013,ENERO,19,16,22
2013,ENERO,19,17,24
2013,ENERO,19,18,26
2013,ENERO,19,20,25
2013,ENERO,19,21,26
2013,ENERO,19,22,22
2013,ENERO,19,23,19
2013,ENERO,20,11,15
2013,ENERO,20,12,15
2013,ENERO,20,13,17
2013,ENERO,20,14,18
2013,ENERO,20,15,20
2013,ENERO,20,16,21
2013,ENERO,20,17,22
2013,ENERO,20,18,23
2013,ENERO,20,19,26
2013,ENERO,20,20,24
2013,ENERO,20,21,22
2013,ENERO,20,22,21
2013,ENERO,20,23,20
2013,ENERO,21,12,14
2013,ENERO,21,13,18
2013,ENERO,21,14,19
2013,ENERO,21,15,22
2013,ENERO,21,16,22
2013,ENERO,21,17,24
2013,ENERO,21,18,27
2013,ENERO,21,20,25
2013,ENERO,21,21,24
2013,ENERO,21,23,20
2013,ENERO,22,11,16
2013,ENERO,22,12,17
2013,ENERO,22,13,18
2013,ENERO,22,14,20
2013,ENERO,22,15,21
2013,ENERO,22,16,21
2013,ENERO,22,19,24
2013,ENERO,22,20,24
2013,ENERO,22,21,24
2013,ENERO,22,22,23
2013,ENERO,22,23,20
2013,ENERO,23,11,15
2013,ENERO,23,12,15
2013,ENERO,23,13,18
2013,ENERO,23,14,20
2013,ENERO,23,15,21
2013,ENERO,23,16,22
2013,ENERO,23,17,24
2013,ENERO,23,18,24
2013,ENERO,23,19,22
2013,ENERO,23,20,23
2013,ENERO,23,21,22
2013,ENERO,23,22,22
2013,ENERO,23,23,20
2013,ENERO,24,11,16
2013,ENERO,24,12,16
2013,ENERO,24,13,18
2013,ENERO,24,14,19
2013,ENERO,24,15,20
2013,ENERO,24,17,21
2013,ENERO,24,18,24
2013,ENERO,24,19,23
2013,ENERO,24,20,21
2013,ENERO,24,21,19
2013,ENERO,24,22,17
2013,ENERO,24,23,17
2013,ENERO,25,12,15
2013,ENERO,25,13,16
2013,ENERO,25,14,17
2013,ENERO,25,15,19
2013,ENERO,25,16,20
2013,ENERO,25,17,21
2013,ENERO,25,19,24
2013,ENERO,25,20,24
2013,ENERO,25,21,24
2013,ENERO,25,22,22
2013,ENERO,25,23,20
2013,ENERO,26,11,16
2013,ENERO,26,12,16
2013,ENERO,26,13,17
2013,ENERO,26,14,18
2013,ENERO,26,15,20
2013,ENERO,26,15,22
2013,ENERO,26,17,23
2013,ENERO,26,18,23
2013,ENERO,26,19,25
2013,ENERO,26,20,25
2013,ENERO,26,21,24
2013,ENERO,26,22,23
2013,ENERO,26,23,20
2013,ENERO,27,11,15
2013,ENERO,27,12,15
2013,ENERO,27,13,18
2013,ENERO,27,14,20
2013,ENERO,27,15,20
2013,ENERO,27,16,22
2013,ENERO,27,17,23
2013,ENERO,27,18,25
2013,ENERO,27,19,24
2013,ENERO,27,21,24
2013,ENERO,27,22,21
2013,ENERO,27,23,19
2013,ENERO,28,11,15
2013,ENERO,28,12,16
2013,ENERO,28,13,16
2013,ENERO,28,14,17
2013,ENERO,28,15,19
2013,ENERO,28,17,23
2013,ENERO,28,18,25
2013,ENERO,28,19,27
2013,ENERO,28,20,25
2013,ENERO,28,21,24
2013,ENERO,28,22,22
2013,ENERO,28,23,20
2013,ENERO,29,11,17
2013,ENERO,29,12,17
2013,ENERO,29,13,20
2013,ENERO,29,14,22
2013,ENERO,29,15,23
2013,ENERO,29,16,23
2013,ENERO,29,17,25
2013,ENERO,29,18,25
2013,ENERO,29,19,25
2013,ENERO,29,20,25
2013,ENERO,29,21,24
2013,ENERO,29,22,23
2013,ENERO,29,23,20
2013,ENERO,30,11,15
2013,ENERO,30,12,16
2013,ENERO,30,13,17
2013,ENERO,30,14,20
2013,ENERO,30,15,19
2013,ENERO,30,16,19
2013,ENERO,30,17,20
2013,ENERO,30,18,20
2013,ENERO,30,19,20
2013,ENERO,30,20,21
2013,ENERO,30,21,21
2013,ENERO,30,22,21
2013,ENERO,30,23,19
2013,ENERO,31,11,15
2013,ENERO,31,12,15
2013,ENERO,31,13,17
2013,ENERO,31,14,18
2013,ENERO,31,15,19
2013,ENERO,31,16,20
2013,ENERO,31,17,22
2013,ENERO,31,18,23
2013,ENERO,31,19,26
2013,ENERO,31,20,25
2013,ENERO,31,21,24
2013,ENERO,31,22,22
2013,ENERO,31,23,20
2013,MARZO,1,11,16
2013,MARZO,1,12,16
2013,MARZO,1,13,17
2013,MARZO,1,14,19
2013,MARZO,1,15,18
2013,MARZO,1,15,18
2013,MARZO,1,16,20
2013,MARZO,1,17,21
2013,MARZO,1,18,21
2013,MARZO,1,19,22
2013,MARZO,1,20,21
2013,MARZO,1,21,21
2013,MARZO,1,22,20
2013,MARZO,2,11,16
2013,MARZO,2,12,16
2013,MARZO,2,13,17
2013,MARZO,2,14,20
2013,MARZO,2,15,20
2013,MARZO,2,16,21
2013,MARZO,2,17,22
2013,MARZO,2,18,23
2013,MARZO,2,19,22
2013,MARZO,2,20,23
2013,MARZO,2,21,22
2013,MARZO,2,22,21
2013,MARZO,3,11,16
2013,MARZO,3,12,16
2013,MARZO,3,13,17
2013,MARZO,3,14,19
2013,MARZO,3,15,19
